kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 266 : 65792 732256 0 0 0 0 0 0 0 
_1.ptx 267 : 65792 2269056 0 20212 2056 0 0 0 0 
_1.ptx 269 : 65792 1851648 0 4112 2056 0 0 0 0 
_1.ptx 270 : 65792 467552 0 0 0 0 0 0 0 
_1.ptx 271 : 65792 686112 0 0 0 0 0 0 0 
_1.ptx 272 : 65792 728288 0 0 0 0 0 0 0 
_1.ptx 273 : 65792 2329728 0 20769 2056 0 0 0 0 
_1.ptx 275 : 65792 1984576 0 4112 2056 0 0 0 0 
_1.ptx 276 : 65792 465600 0 0 0 0 0 0 0 
_1.ptx 277 : 65792 682016 0 0 0 0 0 0 0 
_1.ptx 278 : 65792 727872 0 0 0 0 0 0 0 
_1.ptx 279 : 65792 2709696 0 19887 2056 0 0 0 0 
_1.ptx 281 : 65792 663328 0 0 0 0 0 0 0 
_1.ptx 282 : 65792 473120 0 0 0 0 0 0 0 
_1.ptx 283 : 65792 406912 0 0 0 0 0 0 0 
_1.ptx 284 : 65792 473248 0 0 0 0 0 0 0 
_1.ptx 285 : 65792 408896 0 0 0 0 0 0 0 
_1.ptx 286 : 65792 472640 0 0 0 0 0 0 0 
_1.ptx 287 : 65792 401696 0 0 0 0 0 0 0 
_1.ptx 288 : 65792 470240 0 0 0 0 0 0 0 
_1.ptx 289 : 65792 1176832 0 0 0 0 0 0 0 
_1.ptx 290 : 65792 480704 0 0 0 0 0 0 0 
_1.ptx 292 : 65792 549760 0 0 0 0 0 0 0 
_1.ptx 293 : 65792 543712 0 0 0 0 0 0 0 
_1.ptx 294 : 65792 542432 0 0 0 0 0 0 0 
_1.ptx 295 : 65792 541792 0 0 0 0 0 0 0 
_1.ptx 296 : 65792 915296 0 4112 2056 0 0 0 0 
_1.ptx 298 : 65792 408480 0 0 0 0 0 0 0 
_1.ptx 300 : 65792 1072128 0 4112 2056 0 0 0 0 
_1.ptx 301 : 65792 475392 0 0 0 0 0 0 0 
_1.ptx 302 : 65792 706368 0 0 0 0 0 0 0 
_1.ptx 303 : 65792 735712 0 0 0 0 0 0 0 
_1.ptx 304 : 65792 1717792 0 14383 2056 0 0 0 0 
_1.ptx 306 : 65792 1416800 0 4112 2056 0 0 0 0 
_1.ptx 307 : 65792 472672 0 0 0 0 0 0 0 
_1.ptx 308 : 65792 691456 0 0 0 0 0 0 0 
_1.ptx 309 : 65792 732032 0 0 0 0 0 0 0 
_1.ptx 310 : 65792 1751744 0 14158 2056 0 0 0 0 
_1.ptx 312 : 65792 1470976 0 4112 2056 0 0 0 0 
_1.ptx 313 : 65792 467776 0 0 0 0 0 0 0 
_1.ptx 314 : 65792 685600 0 0 0 0 0 0 0 
_1.ptx 315 : 65792 727904 0 0 0 0 0 0 0 
_1.ptx 316 : 65792 1860832 0 15221 2056 0 0 0 0 
_1.ptx 318 : 65792 1516864 0 4112 2056 0 0 0 0 
_1.ptx 319 : 65792 472320 0 0 0 0 0 0 0 
_1.ptx 320 : 65792 691680 0 0 0 0 0 0 0 
_1.ptx 321 : 65792 729088 0 0 0 0 0 0 0 
_1.ptx 322 : 65792 2022496 0 15505 2056 0 0 0 0 
_1.ptx 324 : 65792 670464 0 0 0 0 0 0 0 
_1.ptx 325 : 65792 477632 0 0 0 0 0 0 0 
_1.ptx 326 : 65792 411040 0 0 0 0 0 0 0 
_1.ptx 327 : 65792 479552 0 0 0 0 0 0 0 
